column,unit,format,description
obs_371_frac,,,Fraction of jwst_nircam_f210m covered by spectrum
obs_371_flux,,,Spectrum flux in jwst_nircam_f210m
obs_371_err,,,Spectrum err in jwst_nircam_f210m
obs_371_full_err,,,Spectrum err in jwst_nircam_f210m
obs_375_valid,,,
obs_375_frac,,,Fraction of jwst_nircam_f277w covered by spectrum
obs_375_flux,,,Spectrum flux in jwst_nircam_f277w
obs_375_err,,,Spectrum err in jwst_nircam_f277w
obs_375_full_err,,,Spectrum err in jwst_nircam_f277w
obs_376_valid,,,
obs_376_frac,,,Fraction of jwst_nircam_f356w covered by spectrum
obs_376_flux,,,Spectrum flux in jwst_nircam_f356w
obs_376_err,,,Spectrum err in jwst_nircam_f356w
obs_376_full_err,,,Spectrum err in jwst_nircam_f356w
obs_377_valid,,,
obs_377_frac,,,Fraction of jwst_nircam_f444w covered by spectrum
obs_377_flux,,,Spectrum flux in jwst_nircam_f444w
obs_377_err,,,Spectrum err in jwst_nircam_f444w
obs_377_full_err,,,Spectrum err in jwst_nircam_f444w
obs_379_valid,,,
obs_379_frac,,,Fraction of jwst_nircam_f250m covered by spectrum
obs_379_flux,,,Spectrum flux in jwst_nircam_f250m
obs_379_err,,,Spectrum err in jwst_nircam_f250m
obs_379_full_err,,,Spectrum err in jwst_nircam_f250m
obs_380_valid,,,
obs_380_frac,,,Fraction of jwst_nircam_f300m covered by spectrum
obs_380_flux,,,Spectrum flux in jwst_nircam_f300m
obs_380_err,,,Spectrum err in jwst_nircam_f300m
obs_380_full_err,,,Spectrum err in jwst_nircam_f300m
obs_381_valid,,,
obs_381_frac,,,Fraction of jwst_nircam_f335m covered by spectrum
obs_381_flux,,,Spectrum flux in jwst_nircam_f335m
obs_381_err,,,Spectrum err in jwst_nircam_f335m
obs_381_full_err,,,Spectrum err in jwst_nircam_f335m
obs_382_valid,,,
obs_382_frac,,,Fraction of jwst_nircam_f360m covered by spectrum
obs_382_flux,,,Spectrum flux in jwst_nircam_f360m
obs_382_err,,,Spectrum err in jwst_nircam_f360m
obs_382_full_err,,,Spectrum err in jwst_nircam_f360m
obs_383_valid,,,
obs_383_frac,,,Fraction of jwst_nircam_f410m covered by spectrum
obs_383_flux,,,Spectrum flux in jwst_nircam_f410m
obs_383_err,,,Spectrum err in jwst_nircam_f410m
obs_383_full_err,,,Spectrum err in jwst_nircam_f410m
obs_384_valid,,,
obs_384_frac,,,Fraction of jwst_nircam_f430m covered by spectrum
obs_384_flux,,,Spectrum flux in jwst_nircam_f430m
obs_384_err,,,Spectrum err in jwst_nircam_f430m
obs_384_full_err,,,Spectrum err in jwst_nircam_f430m
obs_385_valid,,,
obs_385_frac,,,Fraction of jwst_nircam_f460m covered by spectrum
obs_385_flux,,,Spectrum flux in jwst_nircam_f460m
obs_385_err,,,Spectrum err in jwst_nircam_f460m
obs_385_full_err,,,Spectrum err in jwst_nircam_f460m
obs_386_valid,,,
obs_386_frac,,,Fraction of jwst_nircam_f480m covered by spectrum
obs_386_flux,,,Spectrum flux in jwst_nircam_f480m
obs_386_err,,,Spectrum err in jwst_nircam_f480m
obs_386_full_err,,,Spectrum err in jwst_nircam_f480m
rest_120_valid,,,
rest_120_frac,,,Fraction of galex1500.res covered by spectrum
