specz,flag,Id_COS20_Classic,ra_COS20_Classic,dec_COS20_Classic,Id_COS20_Farmer,ra_COS20_Farmer,dec_COS20_Farmer,Id_COSMOS25,ra_COSMOS25,dec_COSMOS25,Id_COSMOS15
0.79849,4,28750,150.50279811609076,1.4231211940567305,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7792,4,28770,149.73067797732998,1.4231884221997224,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.72764,4,28771,149.07289604766464,1.4231845113852875,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98245,4,28877,149.42924631875132,1.4233501678710008,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.0528,4,28938,149.5995790181676,1.4234596999192566,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.69863,2,28978,150.05051822674358,1.4234862246612414,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67893,4,29160,149.49775831297268,1.4228273184461793,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.6147,4,30864,149.68647209269093,1.4250305532579757,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.59652,4,30903,149.30766637457842,1.4254861577350024,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68266,4,31032,149.25909978262027,1.4258294140532357,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66408,4,31035,150.86345663197585,1.424509765432466,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.81745,4,31036,150.52156374036971,1.4245549237155768,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.73105,4,31114,150.50274444926188,1.424171664438117,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.97372,4,31694,149.8426901071148,1.4261474209492828,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.78039,4,32064,150.26414614644273,1.426717389583859,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.73625,4,32135,149.5961672531704,1.4243612222229878,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77753,4,32359,150.06129060720966,1.4265209477988376,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98704,4,32368,149.34421082534718,1.427453336307157,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.693,4,32832,150.31257046099114,1.4258295585844272,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68537,4,32912,150.3420185820517,1.4271351318326955,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.79699,4,33403,150.51741196269677,1.4273767771586043,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.6227,4,33456,149.536444218682,1.4210297724152336,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77971,4,33604,150.26701445487538,1.428071728433845,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.58546,4,33626,150.4144337975195,1.4279949475563403,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.97516,4,33803,149.83036043499328,1.4289556120308007,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.70077,4,34285,149.98605029850893,1.4285563701961814,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.0234,4,34484,149.82588181015876,1.4293030207736785,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.00744,4,34672,150.81487251089834,1.4301194790732905,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.7312,4,34718,149.72133181897425,1.4304095580760243,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.64776,4,34745,149.53481618941862,1.4296811229887374,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98137,4,34866,149.393431570853,1.4277435727216399,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66792,4,34938,150.32275248774383,1.429617850038151,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.59668,4,34971,150.18992329116162,1.4286349070856972,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77807,4,35310,150.05939713803497,1.429714380875304,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.61663,4,35398,150.6738537346208,1.4297904954056806,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.05706,4,35443,150.04768488365417,1.4306124091096306,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68316,2,35522,150.62222607728023,1.4303656420552802,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77889,4,35552,150.4366501007283,1.4294144206782666,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77962,4,35648,149.75340735464775,1.4297298845727031,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.05369,4,35804,150.62057231436205,1.4308876485578925,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77931,2,35806,149.36665750847985,1.4307357060322234,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.56177,4,35886,150.81853176710206,1.4298118409538554,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.62481,4,35930,149.9386432775698,1.4291255083694325,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.5661,4,35993,149.75676783831057,1.426932051441751,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77781,4,36038,150.4579519093916,1.4310283381531586,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.71519,4,36109,150.37790629399626,1.4313507989911838,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.60692,4,36277,149.08492803590468,1.4306912617285437,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.58178,4,36489,149.6269332117321,1.4301366939390465,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.66958,4,36547,149.49671073416883,1.4317652112800603,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
